title,url,difficulty,step,lecture,patterns
Bridges in Graph,https://leetcode.com/problems/critical-connections-in-a-network/,Hard,15,,DFS
Articulation Point,,Hard,15,,DFS
Kosaraju's Algorithm,,Hard,15,,DFS
Dynamic Programming Introduction,,Medium,16,,DP 1D/Fibonacci
Climbing Stars,https://leetcode.com/problems/climbing-stairs/,Medium,16,,DP 1D/Fibonacci
Frog Jump(DP-3),,Medium,16,,DP 1D/Fibonacci
Frog Jump with k distances(DP-4),,Medium,16,,DP 1D/Fibonacci
Maximum sum of non-adjacent elements (DP 5),,Medium,16,,DP 1D/Fibonacci
House Robber (DP 6),https://leetcode.com/problems/house-robber/,Medium,16,,DP 1D/Fibonacci
Ninja's Training (DP 7),,Medium,16,,DP 1D/Fibonacci
Grid Unique Paths : DP on Grids (DP8),https://leetcode.com/problems/unique-paths/,Medium,16,,DP on Grids
Grid Unique Paths 2 (DP 9),https://leetcode.com/problems/unique-paths-ii/,Medium,16,,DP on Grids
Minimum path sum in Grid (DP 10),https://leetcode.com/problems/minimum-path-sum/,Medium,16,,DP on Grids
Minimum path sum in Triangular Grid (DP 11),https://leetcode.com/problems/triangle/,Medium,16,,DP on Grids
Minimum/Maximum Falling Path Sum (DP-12),https://leetcode.com/problems/minimum-falling-path-sum/,Medium,16,,DP on Grids
3-d DP : Ninja and his friends (DP-13),,Medium,16,,DP on Grids
Subset sum equal to target (DP- 14),,Medium,16,,Knapsack
Partition Equal Subset Sum (DP- 15),https://leetcode.com/problems/partition-equal-subset-sum/,Medium,16,,Knapsack
Partition Set Into 2 Subsets With Min Absolute Sum Diff (DP- 16),,Medium,16,,Knapsack
Count Subsets with Sum K (DP - 17),,Medium,16,,Knapsack
Count Partitions with Given Difference (DP - 18),,Medium,16,,Knapsack
0/1 Knapsack (DP-19),,Hard,16,,Knapsack
Minimum Coins (DP - 20),https://leetcode.com/problems/coin-change/,Hard,16,,Knapsack
Target Sum (DP - 21),https://leetcode.com/problems/target-sum/,Medium,16,,Knapsack
Coin Change 2 (DP - 22),https://leetcode.com/problems/coin-change-2/,Hard,16,,Knapsack
Unbounded Knapsack (DP - 23),,Hard,16,,Knapsack
Rod Cutting Problem | (DP - 24),,Hard,16,,Knapsack
Longest Common Subsequence | (DP - 25),https://leetcode.com/problems/longest-common-subsequence/,Hard,16,,DP on Strings
Print Longest Common Subsequence | (DP - 26),,Hard,16,,DP on Strings
Longest Common Substring | (DP - 27),,Hard,16,,DP on Strings
Longest Palindromic Subsequence | (DP-28),https://leetcode.com/problems/longest-palindromic-subsequence/,Hard,16,,DP on Strings
Minimum insertions to make string palindrome | DP-29,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome/,Hard,16,,DP on Strings
Minimum Insertions/Deletions to Convert String | (DP- 30),,Hard,16,,DP on Strings
Shortest Common Supersequence | (DP - 31),https://leetcode.com/problems/shortest-common-supersequence/,Hard,16,,DP on Strings
Distinct Subsequences| (DP-32),https://leetcode.com/problems/distinct-subsequences/,Hard,16,,DP on Strings
Edit Distance | (DP-33),https://leetcode.com/problems/edit-distance/,Hard,16,,DP on Strings
Wildcard Matching | (DP-34),https://leetcode.com/problems/wildcard-matching/,Medium,16,,DP on Strings
Best Time to Buy and Sell Stock |(DP-35),https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Hard,16,,DP on Stocks
Buy and Sell Stock - II|(DP-36),https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Hard,16,,DP on Stocks
Buy and Sell Stocks III|(DP-37),https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,Hard,16,,DP on Stocks
Buy and Stock Sell IV |(DP-38),https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,Hard,16,,DP on Stocks
Buy and Sell Stocks With Cooldown|(DP-39),https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,Hard,16,,DP on Stocks
Buy and Sell Stocks With Transaction Fee|(DP-40),https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/,Hard,16,,DP on Stocks
Longest Increasing Subsequence |(DP-41),https://leetcode.com/problems/longest-increasing-subsequence/,Hard,16,,DP on LIS
Printing Longest Increasing Subsequence|(DP-42),,Hard,16,,DP on LIS
Longest Increasing Subsequence |(DP-43),,Hard,16,,DP on LIS
Largest Divisible Subset|(DP-44),https://leetcode.com/problems/largest-divisible-subset/,Hard,16,,DP on LIS
Longest String Chain|(DP-45),https://leetcode.com/problems/longest-string-chain/,Hard,16,,DP on LIS
Longest Bitonic Subsequence |(DP-46),,Hard,16,,DP on LIS
Number of Longest Increasing Subsequences|(DP-47),https://leetcode.com/problems/number-of-longest-increasing-subsequence/,Hard,16,,DP on LIS
Matrix Chain Multiplication|(DP-48),,Hard,16,,DP on Squares & Partitions
Matrix Chain Multiplication | Bottom-Up|(DP-49),,Hard,16,,DP on Squares & Partitions
Minimum Cost to Cut the Stick|(DP-50),https://leetcode.com/problems/minimum-cost-to-cut-a-stick/,Hard,16,,DP on Squares & Partitions
Burst Balloons|(DP-51),https://leetcode.com/problems/burst-balloons/,Hard,16,,DP on Squares & Partitions
Evaluate Boolean Expression to True|(DP-52),,Hard,16,,DP on Squares & Partitions
Palindrome Partitioning - II|(DP-53),https://leetcode.com/problems/palindrome-partitioning-ii/,Hard,16,,DP on Squares & Partitions
Partition Array for Maximum Sum|(DP-54),https://leetcode.com/problems/partition-array-for-maximum-sum/,Hard,16,,DP on Squares & Partitions
Maximum Rectangle Area with all 1's|(DP-55),https://leetcode.com/problems/maximal-rectangle/,Hard,16,,DP on Squares & Partitions
Count Square Submatrices with All Ones|(DP-56),https://leetcode.com/problems/count-square-submatrices-with-all-ones/,Hard,16,,DP on Squares & Partitions
Implement TRIE | INSERT | SEARCH | STARTSWITH,https://leetcode.com/problems/implement-trie-prefix-tree/,Hard,17,,Trie
Implement Trie - 2 (Prefix Tree),,Hard,17,,Trie
Longest String with All Prefixes,,Easy,17,,Trie
Number of Distinct Substrings in a String,,Hard,17,,Trie
Bit PreRequisites for TRIE Problems,,Hard,17,,Trie
Maximum XOR of two numbers in an array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/,Easy,17,,Trie;Bit Manipulation
Maximum XOR With an Element From Array,,Hard,17,,Trie;Bit Manipulation
min number of bracket reversals to make an expression balanced,,Easy,18,,Pattern Matching
Count and say,https://leetcode.com/problems/count-and-say/,Easy,18,,Pattern Matching
Hashing In Strings | Theory,,Easy,18,,String Hashing
Rabin Karp,,Hard,18,,String Hashing
Z-Function,,Easy,18,,Z-Function
KMP algo / LPS(pi) array,,Hard,18,,KMP
Shortest Palindrome,https://leetcode.com/problems/shortest-palindrome/,Hard,18,,Pattern Matching
Longest happy prefix,https://leetcode.com/problems/longest-happy-prefix/,Hard,18,,Pattern Matching
Count palindromic subsequence in given string,,Hard,18,,Pattern Matching
