title,url,difficulty,step,lecture,patterns
Painter's partition,,Hard,4,,Binary Search on Answer
Minimize Max Distance to Gas Station,,Hard,4,,Binary Search on Answer
Median of 2 sorted arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,4,,Binary Search
Kth element of 2 sorted arrays,,Medium,4,,Binary Search
Find the row with maximum number of 1's,,Easy,4,,Binary Search
Search in a 2 D matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,4,,Binary Search;Matrix
Search in a row and column wise sorted matrix,https://leetcode.com/problems/search-a-2d-matrix-ii/,Medium,4,,Binary Search;Matrix
Find Peak Element (2D Matrix),,Hard,4,,Binary Search;Matrix
Matrix Median,,Hard,4,,Binary Search
Remove outermost Paranthesis,,Easy,5,,String Manipulation
Reverse words in a given string / Palindrome Check,,Easy,5,,String Manipulation
Largest odd number in a string,,Easy,5,,String Manipulation
Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,5,,String Manipulation
Isomorphic String,,Easy,5,,Hashing;String Manipulation
check whether one string is a rotation of another,,Medium,5,,Hashing;String Manipulation
Check if two strings are anagram of each other,https://leetcode.com/problems/valid-anagram/,Medium,5,,Hashing;String Manipulation
Sort Characters by frequency,,Easy,5,,Hashing;String Manipulation
Maximum Nesting Depth of Paranthesis,,Easy,5,,String Manipulation
Roman Number to Integer and vice versa,https://leetcode.com/problems/roman-to-integer/,Easy,5,,String Manipulation
Implement Atoi,https://leetcode.com/problems/string-to-integer-atoi/,Medium,5,,String Manipulation
Count Number of Substrings,,Medium,5,,String Manipulation
Longest Palindromic Substring[Do it without DP],https://leetcode.com/problems/longest-palindromic-substring/,Hard,5,,String Manipulation
Sum of Beauty of all substring,,Medium,5,,String Manipulation
Reverse Every Word in A String,,Easy,5,,String Manipulation
"Introduction to LinkedList, learn about struct, and node",,Easy,6,,Linked List
Inserting a node in LinkedList,,Easy,6,,Linked List
Deleting a node in LinkedList,,Medium,6,,Linked List
Find the length of the linkedlist [learn traversal],,Easy,6,,Linked List
Search an element in the LL,,Easy,6,,Linked List
"Introduction to DLL, learn about struct, and node",,Easy,6,,Linked List
Insert a node in DLL,,Easy,6,,Linked List
Delete a node in DLL,,Medium,6,,Linked List
Reverse a DLL,,Medium,6,,Linked List
Middle of a LinkedList [TortoiseHare Method],,Easy,6,,Fast Slow Pointers;Linked List
Reverse a LinkedList [Iterative],https://leetcode.com/problems/reverse-linked-list/,Easy,6,,Linked List
Reverse a LL [Recursive],,Easy,6,,Linked List
Detect a loop in LL,https://leetcode.com/problems/linked-list-cycle/,Medium,6,,Fast Slow Pointers;Linked List
Find the starting point in LL,https://leetcode.com/problems/linked-list-cycle-ii/,Medium,6,,Linked List
Length of Loop in LL,,Easy,6,,Fast Slow Pointers;Linked List
Check if LL is palindrome or not,https://leetcode.com/problems/palindrome-linked-list/,Medium,6,,Fast Slow Pointers;Linked List
Segrregate odd and even nodes in LL,,Medium,6,,Linked List
Remove Nth node from the back of the LL,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,6,,Linked List
Delete the middle node of LL,https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/,Medium,6,,Fast Slow Pointers;Linked List
Sort LL,https://leetcode.com/problems/sort-list/,Medium,6,,Linked List
Sort a LL of 0's 1's and 2's by changing links,,Medium,6,,Linked List
Find the intersection point of Y LL,https://leetcode.com/problems/intersection-of-two-linked-lists/,Medium,6,,Linked List
Add 1 to a number represented by LL,,Medium,6,,Linked List
Add 2 numbers in LL,https://leetcode.com/problems/add-two-numbers/,Medium,6,,Linked List
Delete all occurrences of a key in DLL,,Medium,6,,Linked List
Find pairs with given sum in DLL,,Medium,6,,Linked List
Remove duplicates from sorted DLL,,Medium,6,,Linked List
Reverse LL in group of given size K,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,6,,Linked List
Rotate a LL,https://leetcode.com/problems/rotate-list/,Medium,6,,Linked List
Flattening of LL,,Hard,6,,Linked List
Clone a Linked List with random and next pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,Hard,6,,Linked List
Recursive Implementation of atoi(),,Hard,7,,Recursion
"Pow(x, n)",https://leetcode.com/problems/powx-n/,Medium,7,,Recursion
Count Good numbers,,Easy,7,,Recursion
Sort a stack using recursion,,Medium,7,,Recursion
Reverse a stack using recursion,,Easy,7,,Recursion
Generate all binary strings,,Medium,7,,Backtracking
Generate Paranthesis,https://leetcode.com/problems/generate-parentheses/,Medium,7,,Backtracking
Print all subsequences/Power Set,,Medium,7,,Subsequence Generation
Learn All Patterns of Subsequences (Theory),,Medium,7,,Subsequence Generation
Count all subsequences with sum K,,Hard,7,,Subsequence Generation
Check if there exists a subsequence with sum K,,Medium,7,,Subsequence Generation
Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,7,,Subsequence Generation
Combination Sum-II,https://leetcode.com/problems/combination-sum-ii/,Medium,7,,Subsequence Generation
Subset Sum-I,,Medium,7,,Subsequence Generation
Subset Sum-II,,Medium,7,,Subsequence Generation
